
Herhaling,Bij een herhaling worden dezelfde woorden herhaald om nadruk te leggen op iets.,#C52184
Retorische vraag,"Een retorische vraag is een vraag waarop de vragensteller geen direct antwoord verwacht, het wordt vaak gebruikt om de mening van de spreker of auteur over een onderwerp weer te geven of te benadrukken.",#EC0B43
Litotes,Bij een litotes wordt een begrip omschreven door de ontkenning van het tegengestelde om iets sterker uit te drukken.,#43B929
Metonymia,"Bij metonymia zeg je niet meteen wat je bedoelt, maar je gebruikt een woord dat daar mee samenhangt.",#002642
Antithese,Een antithese is een tijlfiguur waarbij tegengestelde begrippen worden verbonden.,#840032
(Anti) climax,Bij een climax wordt er naar een hoogtepunt gewerkt door in een enumeratie de begrippen in kracht te laten toenemen. BIj een antithese dalen de begrippen in kracht.,#E59500
Vergelijking,Bij een vergelijking wordt een overeenkomst genoemd tussen twee objecten.,#D44D5C
Hyperbool,Een hyperbool is een overdrijving om iets extra nadruk te geven.,#247B7B
Enumeratie,Een enumeratie is een opsomming om iets te benadrukken.,#FA8334
Personificatie,Bij personificatie geef je dieren en/of levenloze dingen een persoonlijkheid of je steld ze voor ,#06BCC1
Elisie,Bij een elisie wordt er een of meer klanken weggelaten.,#034C4F
Repetitio,"Een vorm van enumeratie, bij een repetitio worden woorden of delen van woorden herhaald.",#00C49A
Paradox,"Bij een paradox wordt er gebruik gemaakt van tegenspraak. Normaal is het op eerste zicht moeilijk terug te zien maar nadat je het gedicht nog een  een of twee keer leest, is het te zien.",#E13700
Parallellisme,"Bij parallellisme worden er twee of meer zinnen of zinsdelen, die een vergelijkbare vorm en inhoud hebben, door elkaar opgevolgd. Je kunt parallellisme gebruikem om ideeen te versterken of te contrasteren.",#FF1D15
Pleonasme,Bij een pleonasme wordt een eigenschap die al aan een begrip verbonden is nogmaals benoemd.,#3EC300
Tautologie,Bij een tautologie wordt er tweemaal hetzelfde begrip genoemd met behulp van een synoniem.,#3185FC
Woordspeling,Bij woordspeling maak je gebruik van woorden die meerdere betekenissen hebben. Dit wordt meestal gedaan voor een komisch effect.,#B30089
Metafoor,Bij een metafoor maak je gebruik van een woord of beeld voor iets anders. Je toont hier mee een overeenkomst tussen twee verschillende voorwerpen/onderwerpen.,#18007A
Synesthesie,Bij een synesthesie worden verschillende zintuigen gebruikt om iets te beschrijven,#A71125
